epoch,lstm_train_loss,lstm_val_loss,lstm_train_mae,lstm_val_mae,epoch,gru_train_loss,gru_val_loss,gru_train_mae,gru_val_mae
1,0.27434301376342773,0.1358540952205658,0.6804446578025818,0.37799596786499023,1,0.2624766230583191,0.1250476837158203,0.6615809798240662,0.35216692090034485
2,0.15015342831611633,0.11088768392801285,0.4138182997703552,0.3207647204399109,2,0.14141689240932465,0.10439251363277435,0.404490202665329,0.30963870882987976
3,0.1114693284034729,0.09595217555761337,0.3320276737213135,0.2978312075138092,3,0.10059411823749542,0.08585833013057709,0.3150775134563446,0.27528703212738037
4,0.09081736207008362,0.08540528267621994,0.2919212281703949,0.2791857421398163,4,0.08329498767852783,0.07848335802555084,0.2813146114349365,0.2660205662250519
5,0.08130726963281631,0.07925257831811905,0.2775881290435791,0.2747633159160614,5,0.07443585246801376,0.07266179472208023,0.26744839549064636,0.2583221197128296
6,0.07427013665437698,0.07312175631523132,0.2682187855243683,0.2651046812534332,6,0.06873733550310135,0.0700971856713295,0.2598315179347992,0.2561147212982178
7,0.06914560496807098,0.070292629301548,0.26209935545921326,0.2643147110939026,7,0.06455345451831818,0.06489096581935883,0.25527897477149963,0.24959377944469452
8,0.0648215264081955,0.06813503801822662,0.25688713788986206,0.258450984954834,8,0.06118547171354294,0.06391843408346176,0.25028660893440247,0.2511816918849945
9,0.06130411475896835,0.06530734896659851,0.2514815330505371,0.2577180564403534,9,0.05874401703476906,0.06098545342683792,0.2476072758436203,0.24754118919372559
10,0.058636199682950974,0.06406939029693604,0.24705573916435242,0.25865140557289124,10,0.05664635822176933,0.0596444308757782,0.243792325258255,0.24560725688934326
11,0.056222040206193924,0.06425157934427261,0.2421310544013977,0.2601523697376251,11,0.05382222682237625,0.05845596268773079,0.2368173748254776,0.24660815298557281
12,0.05362094193696976,0.062357500195503235,0.23657134175300598,0.25783875584602356,12,0.05198267847299576,0.057391125708818436,0.23288244009017944,0.24518878757953644
13,0.05179784074425697,0.060002490878105164,0.23225346207618713,0.2512219548225403,13,0.05071892961859703,0.05567634478211403,0.22945617139339447,0.24069766700267792
14,0.04925338551402092,0.059642989188432693,0.2252182811498642,0.25483933091163635,14,0.04876667261123657,0.05600420758128166,0.22445683181285858,0.24173447489738464
15,0.04742277041077614,0.060122959315776825,0.22030259668827057,0.2537112534046173,15,0.04727236554026604,0.05546717718243599,0.22019004821777344,0.24467231333255768
16,0.046076878905296326,0.059893492609262466,0.21639277040958405,0.2573060989379883,16,0.04597064107656479,0.05481007322669029,0.2169138491153717,0.24331574141979218
17,0.04508509859442711,0.059217099100351334,0.21393108367919922,0.25324782729148865,17,0.044738441705703735,0.054575126618146896,0.21364635229110718,0.2406940758228302
18,0.04406300187110901,0.05975503847002983,0.2106621116399765,0.25436243414878845,18,0.04382087662816048,0.054352056235075,0.21086210012435913,0.23890739679336548
19,0.04342374578118324,0.06007741764187813,0.20888115465641022,0.25335851311683655,19,0.043471235781908035,0.054386645555496216,0.20982208847999573,0.2378828525543213
20,0.04294796288013458,0.06016165763139725,0.20731902122497559,0.2536391317844391,20,0.043154917657375336,0.054537516087293625,0.2088737189769745,0.23782849311828613
