Model,R2,RMSE,MAE,MAPE_all,MAPE_active,SMAPE
LSTM,0.6533890962600708,0.5335415614956066,0.36068251729011536,37.019573,31.58723,31.723488
GRU,0.6739306449890137,0.51749019235725,0.3444262444972992,33.66348,29.87546,29.837027
Ensemble,0.6774236559867859,0.5147109165666724,0.34477585554122925,34.675663,29.960325,30.219143
